id,name,latitude,longitude,status,reliability,penalty,description
1,성동구청 흡연부스,37.563456,127.036821,0,90,0,구청사 뒤편 주차장 인근 공식 흡연부스
2,왕십리역 광장,37.561243,127.038456,1,0,100000,광장 전체 금연구역 (지하철 출입구 10m 이내)
3,서울숲 공원 입구,37.544521,127.037568,1,0,100000,도시공원법에 따른 금연구역
4,한양대학교 HIT관 옆,37.556214,127.045231,0,85,0,건물 우측 지정 흡연구역
5,성수역 3번 출구 뒤편,37.544569,127.055974,2,60,0,최근 공사로 인해 폐쇄되었다는 제보 있음 (확인 필요)
6,마장동 축산물시장 북문,37.569821,127.042315,0,85,0,시장 상인회 관리 구역
7,응봉산 팔각정,37.550123,127.031456,1,0,50000,산림보호법 위반 과태료 부과 대상
8,비트플렉스 1층 주차장,37.5615,127.0391,0,90,0,쇼핑몰 이용객을 위한 지정 공간
9,성수 카페거리 골목,37.542311,127.053123,2,45,0,민원 빈발로 인해 철거 논의 중 (신뢰도 낮음)
10,뚝섬유원지 잔디밭,37.531234,127.066789,1,0,100000,한강공원 내 지정 장소 외 금연
11,한양대 제1공학관 뒤,37.555123,127.04789,0,98,0,학생회관 방향 벤치 근처
12,한양대역 2번 출구,37.55589,127.043567,1,0,100000,지하철 출입구 금연 구역
13,사근동 주민센터 앞,37.560123,127.048901,0,80,0,주민센터 우측 자판기 옆
14,왕십리 도선동 상점가,37.565432,127.035678,2,55,0,최근 민원으로 재떨이 수거됨 (확인 필요)
15,상왕십리역 1번 출구 인근,37.564567,127.029876,1,0,100000,대로변 버스정류장 및 출구 금연
16,성동경찰서 옆 공터,37.562345,127.035123,0,88,0,경찰서 담벼락 외부 지정 구역
17,소월아트홀 옥상정원,37.56089,127.039567,1,0,50000,건물 전체 금연 구역 지정
18,한양여대 본관 뒤편,37.558765,127.050123,0,92,0,교직원 및 학생 공용 흡연실
19,응봉역 하부 쉼터,37.551234,127.034567,0,75,0,자전거 도로 인근 쉼터 (비공식)
20,서울숲 언더스탠드에비뉴,37.54321,127.042345,1,0,100000,문화예술공간 전체 금연
21,갤러리아포레 상가 뒤,37.545678,127.040123,0,85,0,상가 관리실 옆 지정 구역
22,성수동 구두테마공원,37.541234,127.054567,1,0,50000,공원 내 흡연 금지
23,성수 연무장길 입구,37.543567,127.056789,2,65,0,팝업스토어 행사로 임시 폐쇄 가능성 있음
24,LCDC 서울,37.54189,127.058901,0,90,0,건물 3층 테라스 흡연 부스
25,성수 이마트 본사 앞,37.539876,127.05321,0,95,0,직원 및 방문객 이용 구역
26,뚝섬역 5번 출구 골목,37.547654,127.046543,1,70,0,음식점 밀집 구역 뒤편
27,경동초등학교 통학로,37.540123,127.050987,1,0,100000,어린이 보호구역 절대 금연
28,성수고등학교 담벼락,37.546789,127.048765,1,0,100000,학교 환경 위생 정화 구역
29,금호역 1번 출구,37.548901,127.025432,1,0,100000,지하철역 출입구 금연
30,금남시장 입구,37.549876,127.022345,2,62,0,시장 입구 공터 (상인회 관리)
31,옥수역 7번 출구 하부,37.541234,127.01789,0,88,0,고가도로 하부 지정 공간
32,달맞이봉 공원,37.542345,127.020123,1,0,50000,산책로 전 구간 금연
33,응봉현대아파트 상가,37.552345,127.033456,0,78,0,상가 뒤편 주차장 구석
34,행당역 2번 출구,37.557654,127.029876,1,0,100000,지하철 출입구 금연
35,무학여고 정문,37.559876,127.032109,1,0,100000,학교 앞 절대 정화 구역
36,왕십리 뉴타운 센트라스,37.56789,127.025678,1,0,50000,아파트 단지 내 전체 금연
37,청계천 마장교 하부,37.571234,127.038901,2,60,0,침수 우려로 우천시 이용 불가
38,용답역 1번 출구,37.561234,127.051234,1,0,100000,역사 주변 금연 구역
39,서울새활용플라자,37.562345,127.058765,1,0,50000,환경 시설물로 전체 금연
40,송정동 제방길,37.553456,127.062345,1,0,50000,벚꽃길 산책로 금연
41,살곶이 체육공원,37.558901,127.053456,1,0,50000,체육시설 내 금연
42,한양대 에리카 학술정보관(오기),37.554321,127.046789,2,40,0,위치 데이터 오류 제보 많음 (폐쇄됨)
43,성동구민체육센터,37.542345,127.044567,1,0,50000,공공시설물 전체 금연
44,뚝섬 구길 상가거리,37.545678,127.048901,0,85,0,편의점 앞 파라솔 구역
45,성수동 지식산업센터(생각공장),37.548765,127.058901,0,95,0,1층 공개공지 흡연 부스
46,성수낙낙,37.546543,127.061234,0,90,0,건물 사이 지정 흡연 구역
47,화양사거리 인근,37.548901,127.065432,2,50,0,최근 건물주 요청으로 재떨이 철거됨
48,어린이대공원 후문(성동구경계),37.551234,127.071234,1,0,100000,공원 입구 및 주변 금연
49,송정동 주민센터,37.550987,127.060123,0,88,0,주차장 뒤편 지정 구역
50,마장역 2번 출구,37.566543,127.041234,1,0,100000,지하철 출입구 금연
51,성동구립도서관 벤치,37.559234,127.037123,1,0,50000,도서관 부지 내 전면 금연
52,왕십리 이마트 후문,37.562123,127.03789,0,95,0,직원 및 고객 겸용 흡연 부스
53,도선동 먹자골목 내부,37.564123,127.036123,2,55,0,민원 다발 구역으로 철거 위기 (보류)
54,무학봉 근린공원,37.558123,127.028901,1,0,50000,공원 내 야간 흡연 단속 강화
55,신금호역 3번 출구,37.554321,127.020123,1,0,100000,지하철 출입구 금연 (단속 CCTV)
56,금호동 벽산아파트 상가 뒤,37.552123,127.023456,0,80,0,상가 이용객을 위한 임시 구역
57,서울숲 리버뷰 자이 정문,37.556789,127.039876,1,0,50000,아파트 단지 입구 금연
58,성수동 수제화거리 입구,37.543456,127.055123,1,0,50000,관광객 밀집 구역 금연 권고
59,성수 에스팩토리 D동,37.54289,127.059123,0,90,0,건물 내 지정 흡연 부스 (2층)
60,화양사거리 고가 하부,37.547123,127.06789,2,65,0,비공식 흡연 구역 (환경 미화 필요)
61,송정 제방길 입구,37.55289,127.063456,1,0,50000,하천 산책로 진입로 금연
62,용답동 로데오거리,37.56289,127.049123,0,75,0,상점가 골목 내 암묵적 흡연 구역
63,한양대 제2의학관,37.557123,127.044123,0,95,0,건물 뒤편 공식 흡연 구역
64,사근동 하이츠 아파트,37.559456,127.046789,1,0,50000,단지 내 놀이터 주변 금연
65,청계천 박물관 앞,37.570123,127.041234,1,0,100000,박물관 및 하천 주변 금연
66,마장국민체육센터,37.568123,127.043456,1,0,50000,체육시설 주변 금연
67,성동세무서 뒤편,37.549123,127.063123,0,90,0,주차장 구석 지정 구역
68,경일중학교 담벼락,37.544123,127.043123,1,0,100000,학교 절대 정화 구역
69,성수역 1번 출구 에스컬레이터,37.545123,127.056123,1,0,100000,역사 진입로 완전 금연
70,성수동 대림창고 앞,37.541567,127.05589,1,0,0,인파 밀집으로 인한 금연 권장 구역
71,KT 성수지사 앞,37.540123,127.057123,0,85,0,사옥 외부 지정 공간
72,서울숲 코오롱디지털타워,37.543123,127.051123,0,95,0,건물 뒤편 흡연 부스 운영
73,성동교 남단 교차로,37.548123,127.042123,1,0,50000,교통섬 및 횡단보도 금연
74,응봉교 하부 체육시설,37.550456,127.036123,1,0,50000,운동기구 주변 금연
75,금호사거리 대로변,37.548567,127.026123,1,0,50000,버스정류장 10m 이내
76,옥수 리버젠 상가,37.54289,127.018123,1,70,0,상가 뒷길 (주민 민원 주의)
77,매봉산 등산로 입구,37.544123,127.016123,1,0,100000,산불 예방을 위한 절대 금연
78,서울중앙병원 장례식장,37.563123,127.021123,0,90,0,외부 지정 흡연 공간
79,왕십리역 6-1번 출구,37.560123,127.039123,1,0,100000,유동인구 많은 출구 앞 금연
80,성동소방서 차고지 옆,37.554123,127.038123,1,0,0,긴급차량 출동로 (절대 금연)
81,한국철도공사,37.553149,126.968881,0,100,0,서울특별시 용산구 서울역 광장 15번출구
82,한국철도공사,37.55376,126.969662,0,100,0,서울특별시 용산구 서울역 광장 1번출구
83,현대아이파크몰,37.528404,126.965569,0,100,0,서울특별시 용산구 용산역 광장
84,용산구청,37.532709,126.99,0,100,0,서울특별시 용산구 용산구청 옥상
85,용산구청,37.532709,126.99,0,100,0,서울특별시 용산구 용산구청 2층 외부
86,용산경찰서,37.541169,126.96765,0,100,0,서울특별시 용산구 용산경찰서 1층 외부
87,원효지구대 방법순찰대,37.538716,126.96589,0,100,0,서울특별시 용산구 원효지구대 방범순찰대(옛 용산구청)
